"","Leg Place","Elapsed Time","Team Name","Team #","Racer Name","Gender","Category","Div Place"
"274",274,"0:48:49","Family Bonding",78,"Chris Pollett","Male","Family",6
"275",275,"0:49:00","Another Bad Decision",44,"Philip Belcke","Male","Family",7
"276",275,"0:49:00","Wild Whiskey Whippersnappers",264,"Joseph Janicki","Male","Recreational Open",85
"277",277,"0:49:04","Lost in the Dark",38,"Jason Crume","Male","Recreational Mixed",36
"278",278,"0:49:06","Wanderlust Rainier",57,"Cody Cowley","Male","Recreational Open",86
"279",279,"0:49:11","The Amazons",171,"Kari Hoss","Female","Recreational Women",9
"280",280,"0:49:20","Nuu Muu Mountain Mamas",181,"Niki Clark","Female","Competitive Women",7
"281",281,"0:49:22","Too Many Variables!",39,"Shawn Doan","Male","Recreational Open",87
"282",281,"0:49:22","Growing Veterans",112,"Ryan Page","Male","Recreational Open",87
"283",283,"0:49:26","Dukes of Haphazard",309,"Peter Larsen","Male","Recreational Open",89
"284",284,"0:49:36","LCP, Yeah You Know Me",267,"Dean Hagin","Male","Recreational Mixed",37
"285",285,"0:49:40","No Snow, sHell No!!",335,"Raichle Dunkeld","Female","Recreational Mixed",38
"286",285,"0:49:40","Team Awesome",338,"Lee Park","Male","Competitive Open",45
"287",287,"0:49:50","12 Year Old Moustache",13,"Scot Gause","Male","Recreational Open",90
"288",288,"0:49:53","The Locust Rundgrave Band Ski toSea Race Team",193,"MICHAEL BAKKE","Male","Competitive Open",46
"289",288,"0:49:53","Itek²",186,"Ryan Fraser","Male","Corporate",25
"290",290,"0:50:03","Remember The Vikings",228,"michael hoffman","Male","Recreational Mixed",39
"291",291,"0:50:06","Lucid Consulting",223,"Philip Samuelsen","Male","Competitive Open",47
"292",292,"0:50:37","The Fighting Snails of Snowline 1",95,"Todd Denholm","Male","Recreational Open",91
"293",293,"0:50:38","7 legs, 1 race to rule them all",24,"Sean Mahaffey","Male","Recreational Mixed",40
"294",294,"0:50:44","Down & Dirty Girls",278,"Stacy Otter","Female","Recreational Women",10
"295",295,"0:50:57","Slope Pokes",221,"Rob Janczak","Male","Recreational Open",92
"296",296,"0:50:59","Legion of Boob",93,"Kim Markworth","Female","Whatcom County Women",7
"297",297,"0:51:02","Old Enough to Know Better",298,"Zack Straus","Male","Recreational Open",93
"298",298,"0:51:06","Seattle ICO - Nothing rhymes with Blorange",126,"Raffaela Oeler","Female","Recreational Mixed",41
"299",299,"0:51:16","We'll Choose A Name Later",210,"Taylor Richardson","Male","Recreational Open",94
"300",300,"0:51:27","BSCA Sister City Ambassadors",4,"Kim In-Hweon","Male","Recreational Open",95
"301",301,"0:51:30","The Family Circus",226,"Sandra Andress","Female","Family",8
"302",302,"0:51:33","MDS Women",303,"Sarah Slegh","Female","Recreational Women",11
"303",303,"0:51:40","We Wine A Lot",43,"Charles Karol","Male","Recreational Open",96
"304",304,"0:51:50","Good Time Girls",196,"Taryn Born","Female","Competitive Women",8
"305",305,"0:52:08","Cascade Dafo, Inc.",212,"Standley Douglas","Male","Recreational Mixed",42
"306",306,"0:52:13","Mama Mayhem",79,"ADITA VAN GRINSVEN","Female","Recreational Women",12
"307",307,"0:52:34","Type II Fun",256,"Kyleen Luhrs","Female","Recreational Mixed",43
"308",308,"0:52:40","Nomads",287,"Adam Obst","Male","Competitive Open",48
"309",309,"0:52:41","Pacific Tree Octopi",140,"Sheila Kluck","Female","Recreational Mixed",44
"310",310,"0:52:59","Wreckers",238,"Robbie Miller","Male","Whatcom County Open",17
"311",311,"0:53:00","Burninating The Snowpack",222,"Shawn Sharrow","Male","Recreational Open",97
"312",312,"0:53:29","Greener Grads",28,"Danae Presler","Female","Recreational Mixed",45
"313",313,"0:53:34","The Outsiders",327,"Evan Castiglia","Male","Recreational Open",98
"314",313,"0:53:34","Government Shutdown",202,"Nikolai Ferrell","Male","Recreational Open",98
"315",315,"0:53:44","Two Midwives and Their Babes",153,"Shannon Wright","Female","Recreational Women",13
"316",316,"0:53:49","Landau Associates I",17,"Carolyn Carlstrom","Female","Recreational Open",100
"317",317,"0:53:50","NWIC Eagles",107,"Steve Zawoysky","Male","Recreational Open",101
"318",318,"0:53:53","Tenderness Junction",262,"Ashley Ward","Female","Recreational Open",102
"319",319,"0:54:05","Lie Down in the Grass",59,"Riley Zehnder","Male","Competitive Open",49
"320",320,"0:55:40","Iron Maidens",308,"Lori Cucksey","Female","Recreational Women",14
"321",321,"0:55:46","Bill Murray is my Spirit Animal (2)",10,"Lane Anliker","Male","Recreational Mixed",46
"322",322,"0:55:49","Snohomish County Helicopter Rescue Team -HRT",14,"Bill Quistorf","Male","Recreational Open",103
