"","Leg Place","Elapsed Time","Team Name","Racer Name","Gender","Category","Div Place"
"266",266,"0:48:35","Team Janicki Vets","Eric Friesen","","Veterans",12
"267",267,"0:48:39","Funke's Broken Ribs","Corinna Levine","","Recreational Open",81
"268",268,"0:48:41","mt.baker ski patrol d-team","Barry Patterson","","Corporate",17
"269",269,"0:48:42","Kevin LaFleur Memorial Team","Tim Terpstra","","Competitive Open",57
"270",270,"0:48:46","Seemed Like a Good Idea at the Time....","Greg Welsh","","Masters",6
"271",271,"0:48:47","Old Skool","Ki Shin","","Masters",7
"272",272,"0:48:53","Team Haskell","Mike Head","","Whatcom County Open",19
"273",273,"0:48:56","Logos Bible Software","Aaron Dutton","","Corporate",18
"274",274,"0:49:00","Brit. line for Vietnamese soup","Mike Massey","","Recreational Open",82
"275",275,"0:49:06","War Ponies","Jon Fujiwara","","Recreational Mixed",33
"276",276,"0:49:12","Jim's Dandies","Delvin Crabtree","","Family",12
"277",277,"0:49:15","Team Harborview","Mike Krausser","","Recreational Mixed",34
"278",278,"0:49:34","Stallone in the Night","Nick Hanlon","","Whatcom County Open",20
"279",279,"0:49:43","Eat Tacos","Jeff Jenkins","","Recreational Open",83
"280",280,"0:49:47","We Used to Be Good","Darren Jacobson","","Recreational Open",84
"281",281,"0:49:48","The Woods Coffee","Nicholas McCoy","","Recreational Open",85
"282",282,"0:49:50","Mt. Suckshan","Thomas Malone","","Whatcom County Open",21
"283",283,"0:50:04","Come at me Bro","Todd Cowles","","Competitive Open",58
"284",284,"0:50:07","Peak 7 - The Freshies","Doug Cheney","","Recreational Open",86
"285",285,"0:50:11","Diminishing Returns","Janet Kling","","Whatcom County Mixed",8
"286",286,"0:50:14","Fairhaven Runners","Eddie Knick","","Recreational Open",87
"287",286,"0:50:14","Road Resurfacing Next 93.5 Miles","Dawn Groves","","Masters",8
"288",288,"0:50:19","BLEVE","Keith McLean","","Recreational Open",88
"289",288,"0:50:19","DEAFinately Awesome","Andy Nelson","","Recreational Open",88
"290",290,"0:50:21","MRSAnary Women","Audra Lee","","Recreational Women",8
"291",291,"0:50:31","Vancouver Vikings","Harm Neutel","","Recreational Open",90
"292",292,"0:50:33","Harlow's Bus Sales","Chris Quinlan","","Recreational Open",91
"293",293,"0:50:34","Drug Court","Gavin Olson","","Recreational Open",92
"294",294,"0:50:39","Crowd of Cynics","Brad McCarrell","","Recreational Open",93
"295",295,"0:50:47","Gator!","Ross Bailey","","Recreational Open",94
"296",296,"0:50:51","Floundering Salmon","Liz Gorton","","Competitive Mixed",9
"297",297,"0:50:54","10 Lbs Heavier - Varsity","Todd Elsworth / Andrew Walsh","/","Recreational Open",95
"298",298,"0:51:01","Semiahmoo Sunrunners 2","Allan Clarke","","Recreational Mixed",35
"299",299,"0:51:04","Proud Feet","Dave West","","Recreational Open",96
"300",300,"0:51:09","MSA - Darcy Weisbach Destroyers","Harry Marx","","Corporate",19
"301",301,"0:51:10","The Flying Spinnaker","Joe Carpenter","","Recreational Open",97
"302",302,"0:51:17","Damn You For Asking Me","Clare Fogelsong","","Competitive Open",59
"303",303,"0:51:20","Team Eclectica","David Jones","","Recreational Open",98
"304",304,"0:51:35","Team Whidbey Coffee","Jackie Bykonen","","Recreational Open",99
"305",304,"0:51:35","The ""REAL"" Anytime Fitness","Jenny Brown","","Recreational Mixed",36
"306",306,"0:51:37","Sandbaggers","Melissa Stoddard","","Recreational Women",9
"307",307,"0:51:48","Full Nelson","Miel Nelson","","Family",13
"308",307,"0:51:48","12 year old moustache","Craig Ferguson","","Recreational Open",100
"309",307,"0:51:48","In The Doghouse","David Rehm","","Whatcom County Open",22
"310",310,"0:51:52","Underhill Gang","Betsy Bierer","","Whatcom County Mixed",9
"311",311,"0:51:53","City Gym","Ashley Buerger","","Recreational Mixed",37
"312",312,"0:51:56","What's Up Doc?","Harry Herdman","","Whatcom County Mixed",10
"313",313,"0:52:08","Bellingham Public Library Dewey Decimators","Michelle Silcott","","Recreational Mixed",38
"314",314,"0:52:09","Bellingham Ace Hardware","Lester Keel","","Competitive Open",60
"315",315,"0:52:14","Golden Nut","Jim Britt","","Corporate",20
"316",316,"0:52:16","Victory Flux","Will Piro","","Recreational Open",101
"317",316,"0:52:16","rawkawn","Wesley Kelln","","Recreational Open",101
"318",318,"0:52:19","Josh's Hammer","Amy MacFadyen","","Recreational Mixed",39
"319",319,"0:52:23","San Juan Cruises","Mick matheson","","Recreational Open",103
"320",320,"0:52:37","Team Exxel Pacific","Matt Tilton","","Corporate",21
"321",321,"0:52:41","Brooks Manufacturing","Mike Saito","","Competitive Open",61
"322",322,"0:52:46","Car Free Wobbly Wheelers","Peter Horne","","Recreational Open",104
"323",323,"0:52:50","Roosevelt Mathletes","Chris Holland","","Corporate",22
"324",324,"0:52:55","Proc Survive;","Jonas Johnson","","Recreational Mixed",40
"325",325,"0:52:56","Lightning Bats","Jay PIllatsch","","Recreational Mixed",41
"326",325,"0:52:56","The G Spot","Janai Deckwar","","Whatcom County Mixed",11
