"","player","level","gender","division","team_name","Turns","Ds","Assists","Points","plus_minus","team_games","turns_per_game","ds_per_game","ast_per_game","pts_per_game","pls_mns_per_game"
"177","Levi Tapper","Division 1","Men","Division 1 Men","Colorado Mambird",8,2,4,13,11,7,1.14285714285714,0.285714285714286,0.571428571428571,1.85714285714286,1.57142857142857
"178","Leilani Lepe","Division 3","Women","Division 3 Women","Davenport Panthers",11,9,5,8,11,5,2.2,1.8,1,1.6,2.2
"179","Katrina McGuire","Division 1","Women","Division 1 Women","Michigan Flywheel",22,3,16,14,11,5,4.4,0.6,3.2,2.8,2.2
"180","Kailyn Lowder","Division 1","Women","Division 1 Women","North Carolina Pleiades",6,10,1,6,11,7,0.857142857142857,1.42857142857143,0.142857142857143,0.857142857142857,1.57142857142857
"181","Joseph Duerr","Division 3","Men","Division 3 Men","Franciscan Fatal",1,5,2,5,11,6,0.166666666666667,0.833333333333333,0.333333333333333,0.833333333333333,1.83333333333333
"182","Griffin Yas","Division 1","Men","Division 1 Men","Massachusetts Zoodisc",0,0,2,9,11,5,0,0,0.4,1.8,2.2
"183","Eva Taberski","Division 3","Women","Division 3 Women","Mount Holyoke Daisy Chain",17,10,3,15,11,6,2.83333333333333,1.66666666666667,0.5,2.5,1.83333333333333
"184","Cameron Freeman","Division 1","Men","Division 1 Men","Washington University Contra",14,4,12,9,11,5,2.8,0.8,2.4,1.8,2.2
"185","Calvin Stoughton","Division 1","Men","Division 1 Men","Colorado Mambird",2,5,6,2,11,7,0.285714285714286,0.714285714285714,0.857142857142857,0.285714285714286,1.57142857142857
"186","Cade Ashland","Division 3","Men","Division 3 Men","St Olaf Berzerkers",3,0,3,11,11,6,0.5,0,0.5,1.83333333333333,1.83333333333333
"187","Austin Gin","Division 1","Men","Division 1 Men","Minnesota Grey Duck",6,0,6,11,11,5,1.2,0,1.2,2.2,2.2
"188","Amelie Marshall","Division 1","Women","Division 1 Women","British Columbia Thunderbirds",8,6,11,2,11,6,1.33333333333333,1,1.83333333333333,0.333333333333333,1.83333333333333
"189","Aaron Barcio","Division 1","Men","Division 1 Men","Texas TUFF",4,0,9,6,11,5,0.8,0,1.8,1.2,2.2
"190","Wilson Tryon","Division 1","Men","Division 1 Men","Washington University Contra",3,2,4,7,10,5,0.6,0.4,0.8,1.4,2
"191","Theresa Yu","Division 1","Women","Division 1 Women","North Carolina Pleiades",14,3,14,7,10,7,2,0.428571428571429,2,1,1.42857142857143
"192","Taylor Dunn","Division 3","Women","Division 3 Women","Mount Holyoke Daisy Chain",1,3,2,6,10,6,0.166666666666667,0.5,0.333333333333333,1,1.66666666666667
"193","Tatum Cubrilovic","Division 1","Women","Division 1 Women","Vermont Ruckus",4,1,8,5,10,6,0.666666666666667,0.166666666666667,1.33333333333333,0.833333333333333,1.66666666666667
"194","Sierra Petrash","Division 1","Women","Division 1 Women","Colorado Quandary",4,2,7,5,10,7,0.571428571428571,0.285714285714286,1,0.714285714285714,1.42857142857143
"195","Sebastian Brauer","Division 1","Men","Division 1 Men","Minnesota Grey Duck",6,1,14,1,10,5,1.2,0.2,2.8,0.2,2
"196","Sean Brown","Division 1","Men","Division 1 Men","Penn State Spank",3,3,4,6,10,5,0.6,0.6,0.8,1.2,2
"197","Samuel Tremblay-Larochelle","Division 1","Men","Division 1 Men","Ottawa Gee-Gees",6,4,7,5,10,5,1.2,0.8,1.4,1,2
"198","Sam Papin","Division 3","Men","Division 3 Men","Missouri S&T Miner Threat",18,8,16,4,10,6,3,1.33333333333333,2.66666666666667,0.666666666666667,1.66666666666667
"199","Ryan Shigley","Division 1","Men","Division 1 Men","Colorado Mambird",6,2,7,7,10,7,0.857142857142857,0.285714285714286,1,1,1.42857142857143
"200","Rutledge Smith","Division 1","Men","Division 1 Men","North Carolina Darkside",4,1,8,5,10,6,0.666666666666667,0.166666666666667,1.33333333333333,0.833333333333333,1.66666666666667
"201","Parker Lin-Butler","Division 1","Men","Division 1 Men","Vermont Chill",0,1,4,5,10,5,0,0.2,0.8,1,2
"202","Nicholas Bollman","Division 3","Men","Division 3 Men","Williams WUFO",2,2,0,10,10,6,0.333333333333333,0.333333333333333,0,1.66666666666667,1.66666666666667
"203","Nathan Wang","Division 3","Men","Division 3 Men","Carleton CHOP",7,4,11,2,10,6,1.16666666666667,0.666666666666667,1.83333333333333,0.333333333333333,1.66666666666667
"204","Malachi Raymond","Division 3","Men","Division 3 Men","Middlebury Pranksters",10,2,7,11,10,5,2,0.4,1.4,2.2,2
"205","Leah Fulton","Division 1","Women","Division 1 Women","Victoria Vikes",2,2,4,6,10,5,0.4,0.4,0.8,1.2,2
"206","Kyle Lew","Division 1","Men","Division 1 Men","Cal Poly-SLO Slocore",16,4,18,4,10,7,2.28571428571429,0.571428571428571,2.57142857142857,0.571428571428571,1.42857142857143
"207","Jake Powell","Division 1","Men","Division 1 Men","Georgia Jojah",5,3,10,2,10,5,1,0.6,2,0.4,2
"208","Isabel Berman","Division 1","Women","Division 1 Women","Vermont Ruckus",1,1,1,9,10,6,0.166666666666667,0.166666666666667,0.166666666666667,1.5,1.66666666666667
"209","Helena Tremblay","Division 1","Women","Division 1 Women","British Columbia Thunderbirds",7,1,7,9,10,6,1.16666666666667,0.166666666666667,1.16666666666667,1.5,1.66666666666667
"210","Goodness Nwakudu","Division 1","Women","Division 1 Women","California - Santa Cruz Sol",6,5,4,7,10,5,1.2,1,0.8,1.4,2
"211","Ethan Lavallee","Division 3","Men","Division 3 Men","Middlebury Pranksters",4,1,11,2,10,5,0.8,0.2,2.2,0.4,2
"212","Eric Treyz","Division 3","Men","Division 3 Men","Bates Orange Whip",6,0,9,7,10,6,1,0,1.5,1.16666666666667,1.66666666666667
"213","Emily Mulhern","Division 3","Women","Division 3 Women","St Olaf Vortex",20,7,21,2,10,5,4,1.4,4.2,0.4,2
"214","Dexter Luecke","Division 1","Men","Division 1 Men","Colorado Mambird",2,1,5,6,10,7,0.285714285714286,0.142857142857143,0.714285714285714,0.857142857142857,1.42857142857143
"215","Carter Lankford","Division 1","Men","Division 1 Men","Cal Ursa Major",1,2,1,8,10,5,0.2,0.4,0.2,1.6,2
"216","Brian Trowbridge","Division 1","Men","Division 1 Men","North Carolina Darkside",1,3,0,8,10,6,0.166666666666667,0.5,0,1.33333333333333,1.66666666666667
"217","Braque Pike","Division 3","Men","Division 3 Men","Oberlin Flying Horsecows",14,2,10,12,10,6,2.33333333333333,0.333333333333333,1.66666666666667,2,1.66666666666667
"218","Benjamin Payson","Division 1","Men","Division 1 Men","Vermont Chill",3,1,4,8,10,5,0.6,0.2,0.8,1.6,2
"219","Avery Goldstein","Division 3","Women","Division 3 Women","Middlebury Pranksters",6,2,3,11,10,5,1.2,0.4,0.6,2.2,2
"220","Alex Yannelli","Division 1","Men","Division 1 Men","Cal Poly-SLO Slocore",0,1,3,6,10,7,0,0.142857142857143,0.428571428571429,0.857142857142857,1.42857142857143
"221","Zachary Marshall","Division 3","Men","Division 3 Men","Oberlin Flying Horsecows",1,2,0,8,9,6,0.166666666666667,0.333333333333333,0,1.33333333333333,1.5
"222","Sonia Nicholson","Division 3","Women","Division 3 Women","Haverford/Bryn Mawr Sneetches",15,15,4,5,9,6,2.5,2.5,0.666666666666667,0.833333333333333,1.5
"223","Phoebe Hulbert","Division 3","Women","Division 3 Women","Haverford/Bryn Mawr Sneetches",20,17,12,0,9,6,3.33333333333333,2.83333333333333,2,0,1.5
"224","Opal Burruss","Division 1","Women","Division 1 Women","Carleton Syzygy",9,2,8,8,9,6,1.5,0.333333333333333,1.33333333333333,1.33333333333333,1.5
"225","Mina Brown","Division 1","Women","Division 1 Women","Tufts EWO",4,2,4,7,9,5,0.8,0.4,0.8,1.4,1.8
"226","Jeremy Long","Division 1","Men","Division 1 Men","Penn State Spank",2,2,7,2,9,5,0.4,0.4,1.4,0.4,1.8
"227","Isabel Cody","Division 3","Women","Division 3 Women","Colorado College Zenith",9,8,4,6,9,6,1.5,1.33333333333333,0.666666666666667,1,1.5
"228","Ian Mccosky","Division 1","Men","Division 1 Men","Minnesota Grey Duck",5,1,11,2,9,5,1,0.2,2.2,0.4,1.8
"229","Henry Egan","Division 1","Men","Division 1 Men","Brown Brownian Motion",0,0,0,9,9,8,0,0,0,1.125,1.125
"230","Ericka Edgell","Division 1","Women","Division 1 Women","Victoria Vikes",13,8,5,9,9,5,2.6,1.6,1,1.8,1.8
"231","Declan Kervick","Division 1","Men","Division 1 Men","Vermont Chill",4,1,10,2,9,5,0.8,0.2,2,0.4,1.8
"232","Cooper Andersen","Division 3","Men","Division 3 Men","Whitman Sweets",6,3,7,5,9,6,1,0.5,1.16666666666667,0.833333333333333,1.5
"233","Chagall Gelfand","Division 1","Women","Division 1 Women","Carleton Syzygy",24,7,18,8,9,6,4,1.16666666666667,3,1.33333333333333,1.5
"234","Caroline Spencer","Division 1","Women","Division 1 Women","North Carolina Pleiades",4,4,2,7,9,7,0.571428571428571,0.571428571428571,0.285714285714286,1,1.28571428571429
"235","Carly Atwell","Division 1","Women","Division 1 Women","Utah Spiral Jetty",20,2,26,1,9,5,4,0.4,5.2,0.2,1.8
"236","Cameron Dolbow","Division 3","Men","Division 3 Men","Carleton CHOP",8,0,7,10,9,6,1.33333333333333,0,1.16666666666667,1.66666666666667,1.5
"237","Caelan McSweeney","Division 1","Men","Division 1 Men","Massachusetts Zoodisc",7,0,14,2,9,5,1.4,0,2.8,0.4,1.8
"238","Audrey Parrott","Division 1","Women","Division 1 Women","Carleton Syzygy",4,4,1,8,9,6,0.666666666666667,0.666666666666667,0.166666666666667,1.33333333333333,1.5
"239","Atkin Arnstein","Division 1","Men","Division 1 Men","Colorado Mambird",3,2,6,4,9,7,0.428571428571429,0.285714285714286,0.857142857142857,0.571428571428571,1.28571428571429
"240","Anthony Jirele","Division 1","Men","Division 1 Men","Minnesota Grey Duck",7,9,2,5,9,5,1.4,1.8,0.4,1,1.8
"241","Adam Wulkan","Division 1","Men","Division 1 Men","Oregon EGO",3,1,9,2,9,6,0.5,0.166666666666667,1.5,0.333333333333333,1.5
"242","Zayna Hopkins","Division 3","Women","Division 3 Women","Macalester Purse Snatchers",6,8,0,6,8,6,1,1.33333333333333,0,1,1.33333333333333
"243","Wyatt Kellman","Division 1","Men","Division 1 Men","Massachusetts Zoodisc",8,2,6,8,8,5,1.6,0.4,1.2,1.6,1.6
"244","Viola Deszily","Division 1","Women","Division 1 Women","California - Santa Cruz Sol",8,4,8,4,8,5,1.6,0.8,1.6,0.8,1.6
"245","Thalia Tzetos","Division 1","Women","Division 1 Women","Oregon Fugue",2,2,1,7,8,6,0.333333333333333,0.333333333333333,0.166666666666667,1.16666666666667,1.33333333333333
"246","Taylor Betonte","Division 1","Women","Division 1 Women","Victoria Vikes",4,4,5,3,8,5,0.8,0.8,1,0.6,1.6
"247","Sydney Merrell","Division 1","Women","Division 1 Women","Carleton Syzygy",0,3,1,4,8,6,0,0.5,0.166666666666667,0.666666666666667,1.33333333333333
"248","Sophie Diliberti","Division 3","Women","Division 3 Women","Macalester Purse Snatchers",13,6,4,11,8,6,2.16666666666667,1,0.666666666666667,1.83333333333333,1.33333333333333
"249","Sophia Harvey","Division 1","Women","Division 1 Women","Michigan Flywheel",8,5,3,8,8,5,1.6,1,0.6,1.6,1.6
"250","Sean Wiles","Division 1","Men","Division 1 Men","NC State Alpha",14,4,13,5,8,6,2.33333333333333,0.666666666666667,2.16666666666667,0.833333333333333,1.33333333333333
"251","Scout Noble","Division 3","Women","Division 3 Women","Wesleyan Vicious Circles",24,8,16,8,8,6,4,1.33333333333333,2.66666666666667,1.33333333333333,1.33333333333333
"252","Raquel Alegria","Division 3","Women","Division 3 Women","Wellesley Whiptails",7,7,4,4,8,6,1.16666666666667,1.16666666666667,0.666666666666667,0.666666666666667,1.33333333333333
"253","Peter Kotz","Division 1","Men","Division 1 Men","Pittsburgh En Sabah Nur",1,1,0,8,8,5,0.2,0.2,0,1.6,1.6
"254","Oscar Low","Division 1","Men","Division 1 Men","Brown Brownian Motion",4,2,1,9,8,8,0.5,0.25,0.125,1.125,1
"255","Matthew McKnight","Division 1","Men","Division 1 Men","North Carolina Darkside",10,3,15,0,8,6,1.66666666666667,0.5,2.5,0,1.33333333333333
"256","Kiana Hu","Division 1","Women","Division 1 Women","Stanford Superfly",14,4,11,7,8,7,2,0.571428571428571,1.57142857142857,1,1.14285714285714
"257","Kai Kirsch","Division 3","Men","Division 3 Men","Whitman Sweets",7,6,3,6,8,6,1.16666666666667,1,0.5,1,1.33333333333333
"258","Jude Schmiesing","Division 3","Men","Division 3 Men","Franciscan Fatal",22,2,21,7,8,6,3.66666666666667,0.333333333333333,3.5,1.16666666666667,1.33333333333333
"259","Jonathan Sillivant","Division 1","Men","Division 1 Men","Alabama-Huntsville Nightmares",12,8,10,2,8,5,2.4,1.6,2,0.4,1.6
"260","John Clyde","Division 1","Men","Division 1 Men","Texas TUFF",13,0,13,8,8,5,2.6,0,2.6,1.6,1.6
"261","Jessie Chan","Division 1","Women","Division 1 Women","Tufts EWO",2,0,7,3,8,5,0.4,0,1.4,0.6,1.6
"262","Isaac Kaplan","Division 1","Men","Division 1 Men","Massachusetts Zoodisc",1,2,4,3,8,5,0.2,0.4,0.8,0.6,1.6
"263","Emily Przykucki","Division 1","Women","Division 1 Women","North Carolina Pleiades",13,3,12,6,8,7,1.85714285714286,0.428571428571429,1.71428571428571,0.857142857142857,1.14285714285714
"264","Elizabeth Swanson","Division 3","Women","Division 3 Women","Carleton Eclipse",3,1,3,7,8,6,0.5,0.166666666666667,0.5,1.16666666666667,1.33333333333333
"265","Dodger Middlebrook","Division 1","Men","Division 1 Men","Cal Poly-SLO Slocore",3,1,2,8,8,7,0.428571428571429,0.142857142857143,0.285714285714286,1.14285714285714,1.14285714285714
"266","Dagny Lott","Division 1","Women","Division 1 Women","Pennsylvania Venus",20,9,15,4,8,5,4,1.8,3,0.8,1.6
"267","Charlie Wagner","Division 3","Men","Division 3 Men","Lewis & Clark Bacchus",15,6,16,1,8,6,2.5,1,2.66666666666667,0.166666666666667,1.33333333333333
"268","Cece Rhyneer","Division 3","Women","Division 3 Women","Middlebury Pranksters",4,2,3,7,8,5,0.8,0.4,0.6,1.4,1.6
"269","Carter Halstrom","Division 1","Men","Division 1 Men","Colorado Mambird",0,2,3,3,8,7,0,0.285714285714286,0.428571428571429,0.428571428571429,1.14285714285714
"270","Callahan Bosworth","Division 1","Men","Division 1 Men","Oregon State Beavers",5,2,7,4,8,5,1,0.4,1.4,0.8,1.6
"271","Bennett Schwartz","Division 1","Men","Division 1 Men","Washington University Contra",6,1,5,8,8,5,1.2,0.2,1,1.6,1.6
"272","Annie Pozzy","Division 1","Women","Division 1 Women","Vermont Ruckus",6,6,7,1,8,6,1,1,1.16666666666667,0.166666666666667,1.33333333333333
"273","Alex Mullen","Division 1","Men","Division 1 Men","Penn State Spank",13,5,9,7,8,5,2.6,1,1.8,1.4,1.6
"274","Zoey Hughes","Division 1","Women","Division 1 Women","Oregon Fugue",2,3,1,5,7,6,0.333333333333333,0.5,0.166666666666667,0.833333333333333,1.16666666666667
"275","Zachary Watson-Stevens","Division 1","Men","Division 1 Men","Vermont Chill",5,4,2,6,7,5,1,0.8,0.4,1.2,1.4
"276","Wade Nichols","Division 3","Men","Division 3 Men","Whitman Sweets",7,3,5,6,7,6,1.16666666666667,0.5,0.833333333333333,1,1.16666666666667
"277","Tej Murthy","Division 1","Men","Division 1 Men","Carleton CUT",6,1,7,5,7,5,1.2,0.2,1.4,1,1.4
"278","Tanveer Singh Chabba","Division 3","Men","Division 3 Men","Claremont Braineaters",7,3,7,4,7,6,1.16666666666667,0.5,1.16666666666667,0.666666666666667,1.16666666666667
"279","Sophie Roback","Division 3","Women","Division 3 Women","Colorado College Zenith",18,9,9,7,7,6,3,1.5,1.5,1.16666666666667,1.16666666666667
"280","Sophia Palmer","Division 1","Women","Division 1 Women","Washington Element",13,0,15,5,7,5,2.6,0,3,1,1.4
"281","Sophia Fitch","Division 1","Women","Division 1 Women","California - San Diego D-Co",2,2,3,4,7,5,0.4,0.4,0.6,0.8,1.4
"282","Simon Dowdy","Division 3","Men","Division 3 Men","Berry Bucks",9,2,4,10,7,6,1.5,0.333333333333333,0.666666666666667,1.66666666666667,1.16666666666667
"283","Sarah Combs","Division 1","Women","Division 1 Women","North Carolina Pleiades",24,5,12,14,7,7,3.42857142857143,0.714285714285714,1.71428571428571,2,1
"284","Sam Green","Division 1","Men","Division 1 Men","Massachusetts Zoodisc",0,2,0,5,7,5,0,0.4,0,1,1.4
"285","Saaketh Palchuru","Division 1","Men","Division 1 Men","Texas TUFF",1,0,6,2,7,5,0.2,0,1.2,0.4,1.4
"286","Rowan Keller","Division 3","Men","Division 3 Men","Richmond Spidermonkeys",0,2,1,4,7,6,0,0.333333333333333,0.166666666666667,0.666666666666667,1.16666666666667
"287","Noah Stovitz","Division 1","Men","Division 1 Men","Washington University Contra",0,4,1,2,7,5,0,0.8,0.2,0.4,1.4
"288","Nicholas Jeschke","Division 1","Men","Division 1 Men","Washington University Contra",2,1,7,1,7,5,0.4,0.2,1.4,0.2,1.4
"289","Naomi Fina","Division 1","Women","Division 1 Women","Carleton Syzygy",4,3,0,8,7,6,0.666666666666667,0.5,0,1.33333333333333,1.16666666666667
"290","Morgan Williams","Division 1","Women","Division 1 Women","Utah Spiral Jetty",5,7,2,3,7,5,1,1.4,0.4,0.6,1.4
"291","Max Rogers","Division 3","Men","Division 3 Men","Middlebury Pranksters",3,2,5,3,7,5,0.6,0.4,1,0.6,1.4
"292","Mason Weybright","Division 1","Men","Division 1 Men","Oregon EGO",1,0,2,6,7,6,0.166666666666667,0,0.333333333333333,1,1.16666666666667
"293","Mara Hindery-Glasinovic","Division 1","Women","Division 1 Women","Oregon Fugue",1,3,2,3,7,6,0.166666666666667,0.5,0.333333333333333,0.5,1.16666666666667
"294","Madeleine Salunga","Division 3","Women","Division 3 Women","Macalester Purse Snatchers",2,4,2,3,7,6,0.333333333333333,0.666666666666667,0.333333333333333,0.5,1.16666666666667
"295","Liz Crawford","Division 3","Women","Division 3 Women","Middlebury Pranksters",9,7,6,3,7,5,1.8,1.4,1.2,0.6,1.4
"296","Lilliana Werner","Division 1","Women","Division 1 Women","Western Washington Chaos",9,5,9,2,7,5,1.8,1,1.8,0.4,1.4
"297","Lauren Goddu","Division 1","Women","Division 1 Women","Washington Element",9,6,5,5,7,5,1.8,1.2,1,1,1.4
"298","Lauren Clayter","Division 1","Women","Division 1 Women","Vermont Ruckus",4,0,3,8,7,6,0.666666666666667,0,0.5,1.33333333333333,1.16666666666667
"299","Kenni Taylor","Division 1","Men","Division 1 Men","Alabama-Huntsville Nightmares",16,2,13,8,7,5,3.2,0.4,2.6,1.6,1.4
"300","Kahlil Gould-Bayba","Division 3","Men","Division 3 Men","Lewis & Clark Bacchus",0,2,0,5,7,6,0,0.333333333333333,0,0.833333333333333,1.16666666666667
"301","Julie Lee","Division 1","Women","Division 1 Women","British Columbia Thunderbirds",7,2,7,5,7,6,1.16666666666667,0.333333333333333,1.16666666666667,0.833333333333333,1.16666666666667
"302","Juliana Eno","Division 3","Women","Division 3 Women","St Olaf Vortex",9,8,3,5,7,5,1.8,1.6,0.6,1,1.4
"303","Julia Hasbrook","Division 1","Women","Division 1 Women","California - Santa Barbara Burning Skirts",14,3,13,5,7,5,2.8,0.6,2.6,1,1.4
"304","Joniah Helperin-Lange","Division 3","Men","Division 3 Men","Lewis & Clark Bacchus",1,5,1,2,7,6,0.166666666666667,0.833333333333333,0.166666666666667,0.333333333333333,1.16666666666667
"305","John Laney","Division 1","Men","Division 1 Men","NC State Alpha",1,5,1,2,7,6,0.166666666666667,0.833333333333333,0.166666666666667,0.333333333333333,1.16666666666667
"306","James Whealan","Division 1","Men","Division 1 Men","Cal Poly-SLO Slocore",8,2,7,6,7,7,1.14285714285714,0.285714285714286,1,0.857142857142857,1
"307","James Baker Jr","Division 1","Men","Division 1 Men","Michigan Magnum",19,4,21,1,7,5,3.8,0.8,4.2,0.2,1.4
"308","Isaiah Mason","Division 1","Men","Division 1 Men","Alabama-Huntsville Nightmares",10,6,2,9,7,5,2,1.2,0.4,1.8,1.4
"309","Henry Groves","Division 3","Men","Division 3 Men","Richmond Spidermonkeys",10,3,8,6,7,6,1.66666666666667,0.5,1.33333333333333,1,1.16666666666667
"310","Hayden Ashley","Division 3","Women","Division 3 Women","Portland UPRoar",41,13,17,18,7,6,6.83333333333333,2.16666666666667,2.83333333333333,3,1.16666666666667
"311","Grace Craig","Division 1","Women","Division 1 Women","California - Santa Barbara Burning Skirts",3,5,0,5,7,5,0.6,1,0,1,1.4
"312","Gavin Zielke","Division 3","Men","Division 3 Men","Berry Bucks",7,2,3,9,7,6,1.16666666666667,0.333333333333333,0.5,1.5,1.16666666666667
"313","Gabriel Driscoll","Division 3","Men","Division 3 Men","Carleton CHOP",2,1,1,7,7,6,0.333333333333333,0.166666666666667,0.166666666666667,1.16666666666667,1.16666666666667
"314","Eric Crosby Lehmann","Division 3","Men","Division 3 Men","St Olaf Berzerkers",10,6,7,4,7,6,1.66666666666667,1,1.16666666666667,0.666666666666667,1.16666666666667
"315","Elijah Hoshide","Division 3","Men","Division 3 Men","Berry Bucks",5,0,7,5,7,6,0.833333333333333,0,1.16666666666667,0.833333333333333,1.16666666666667
"316","Doug Hoyer","Division 1","Men","Division 1 Men","Penn State Spank",11,2,11,5,7,5,2.2,0.4,2.2,1,1.4
"317","Couper Kerns","Division 3","Men","Division 3 Men","Oklahoma Christian Eagles",9,7,3,6,7,5,1.8,1.4,0.6,1.2,1.4
"318","Cole Krucke","Division 1","Men","Division 1 Men","Georgia Jojah",0,1,3,3,7,5,0,0.2,0.6,0.6,1.4
"319","Clara Margulius","Division 1","Women","Division 1 Women","Tufts EWO",1,1,2,5,7,5,0.2,0.2,0.4,1,1.4
"320","Callahan Diercks","Division 1","Men","Division 1 Men","Alabama-Huntsville Nightmares",5,2,4,6,7,5,1,0.4,0.8,1.2,1.4
