"","player","level","gender","division","team_name","Turns","Ds","Assists","Points","plus_minus","team_games","turns_per_game","ds_per_game","ast_per_game","pts_per_game","pls_mns_per_game"
"99","Keziah Wilde","Division 3","Women","Division 3 Women","Middlebury Pranksters",20,7,19,9,15,5,4,1.4,3.8,1.8,3
"100","Ethan Lieman","Division 1","Men","Division 1 Men","Massachusetts Zoodisc",2,1,9,7,15,5,0.4,0.2,1.8,1.4,3
"101","Declan Miller","Division 1","Men","Division 1 Men","Carleton CUT",4,1,12,6,15,5,0.8,0.2,2.4,1.2,3
"102","Daniel Chen","Division 1","Men","Division 1 Men","Carleton CUT",4,2,5,12,15,5,0.8,0.4,1,2.4,3
"103","Tristan Yarter","Division 1","Men","Division 1 Men","Pittsburgh En Sabah Nur",6,2,10,8,14,5,1.2,0.4,2,1.6,2.8
"104","Timothy Loftus","Division 3","Men","Division 3 Men","Rochester Piggies",2,2,7,7,14,6,0.333333333333333,0.333333333333333,1.16666666666667,1.16666666666667,2.33333333333333
"105","Reid Duncan","Division 1","Men","Division 1 Men","Pittsburgh En Sabah Nur",0,3,3,8,14,5,0,0.6,0.6,1.6,2.8
"106","Peter Ngo","Division 1","Men","Division 1 Men","Texas TUFF",0,0,0,14,14,5,0,0,0,2.8,2.8
"107","Michiko Magnant","Division 1","Women","Division 1 Women","Oregon Fugue",5,2,8,9,14,6,0.833333333333333,0.333333333333333,1.33333333333333,1.5,2.33333333333333
"108","Matthew Timoney","Division 3","Men","Division 3 Men","Richmond Spidermonkeys",4,0,8,10,14,6,0.666666666666667,0,1.33333333333333,1.66666666666667,2.33333333333333
"109","Matthew Peterson","Division 3","Men","Division 3 Men","Berry Bucks",6,4,0,16,14,6,1,0.666666666666667,0,2.66666666666667,2.33333333333333
"110","Margot Nissen","Division 1","Women","Division 1 Women","California - San Diego D-Co",7,5,14,2,14,5,1.4,1,2.8,0.4,2.8
"111","Joshua Gill","Division 3","Men","Division 3 Men","Oklahoma Christian Eagles",1,0,0,15,14,5,0.2,0,0,3,2.8
"112","Jessica Wu","Division 1","Women","Division 1 Women","North Carolina Pleiades",4,3,7,8,14,7,0.571428571428571,0.428571428571429,1,1.14285714285714,2
"113","Grant Klebig","Division 3","Men","Division 3 Men","St Olaf Berzerkers",3,9,1,7,14,6,0.5,1.5,0.166666666666667,1.16666666666667,2.33333333333333
"114","Emmanuel Kameri","Division 3","Men","Division 3 Men","Oklahoma Christian Eagles",8,2,7,13,14,5,1.6,0.4,1.4,2.6,2.8
"115","Emma Smith","Division 1","Women","Division 1 Women","California - San Diego D-Co",4,2,2,14,14,5,0.8,0.4,0.4,2.8,2.8
"116","Collin Hill","Division 3","Men","Division 3 Men","Berry Bucks",21,3,31,1,14,6,3.5,0.5,5.16666666666667,0.166666666666667,2.33333333333333
"117","Char Bokhof","Division 1","Women","Division 1 Women","Colorado State Helle's Belles",6,6,4,10,14,5,1.2,1.2,0.8,2,2.8
"118","Ben Horrisberger","Division 1","Men","Division 1 Men","Oregon EGO",2,5,5,6,14,6,0.333333333333333,0.833333333333333,0.833333333333333,1,2.33333333333333
"119","Annabel White","Division 1","Women","Division 1 Women","Tufts EWO",1,1,2,12,14,5,0.2,0.2,0.4,2.4,2.8
"120","Savanna Tucker","Division 1","Women","Division 1 Women","Washington Element",7,2,6,12,13,5,1.4,0.4,1.2,2.4,2.6
"121","Rose Bransford","Division 1","Women","Division 1 Women","Colorado Quandary",3,4,3,9,13,7,0.428571428571429,0.571428571428571,0.428571428571429,1.28571428571429,1.85714285714286
"122","Raekwon Adkins","Division 1","Men","Division 1 Men","Oregon EGO",5,2,4,12,13,6,0.833333333333333,0.333333333333333,0.666666666666667,2,2.16666666666667
"123","Peter Mans","Division 3","Men","Division 3 Men","Middlebury Pranksters",3,4,3,9,13,5,0.6,0.8,0.6,1.8,2.6
"124","Owen Smith","Division 1","Men","Division 1 Men","Texas TUFF",2,0,5,10,13,5,0.4,0,1,2,2.6
"125","Max Dehlin","Division 1","Men","Division 1 Men","Minnesota Grey Duck",0,2,8,3,13,5,0,0.4,1.6,0.6,2.6
"126","Luca Duclos-Orsello","Division 1","Men","Division 1 Men","Brown Brownian Motion",3,4,1,11,13,8,0.375,0.5,0.125,1.375,1.625
"127","Logan Keillor","Division 1","Men","Division 1 Men","Ottawa Gee-Gees",9,1,13,8,13,5,1.8,0.2,2.6,1.6,2.6
"128","Kennedy McCarthy","Division 1","Women","Division 1 Women","Vermont Ruckus",22,9,14,12,13,6,3.66666666666667,1.5,2.33333333333333,2,2.16666666666667
"129","Joe Claramunt","Division 3","Men","Division 3 Men","Davenport Panthers",5,6,0,12,13,6,0.833333333333333,1,0,2,2.16666666666667
"130","Jack Krugler","Division 1","Men","Division 1 Men","Georgia Jojah",5,2,7,9,13,5,1,0.4,1.4,1.8,2.6
"131","Isamu Masayoshi Sims","Division 3","Men","Division 3 Men","Claremont Braineaters",9,6,8,8,13,6,1.5,1,1.33333333333333,1.33333333333333,2.16666666666667
"132","Ian VanOrder","Division 3","Men","Division 3 Men","Berry Bucks",19,8,18,6,13,6,3.16666666666667,1.33333333333333,3,1,2.16666666666667
"133","Gavin Rice","Division 3","Men","Division 3 Men","Middlebury Pranksters",7,3,11,6,13,5,1.4,0.6,2.2,1.2,2.6
"134","Gavin Abrahamsson","Division 1","Men","Division 1 Men","Massachusetts Zoodisc",0,3,4,6,13,5,0,0.6,0.8,1.2,2.6
"135","Ella Monaghan","Division 1","Women","Division 1 Women","Vermont Ruckus",3,1,6,9,13,6,0.5,0.166666666666667,1,1.5,2.16666666666667
"136","Dora McCotter-Hulett","Division 1","Women","Division 1 Women","Stanford Superfly",3,4,9,3,13,7,0.428571428571429,0.571428571428571,1.28571428571429,0.428571428571429,1.85714285714286
"137","David Leder","Division 3","Men","Division 3 Men","Rochester Piggies",30,9,22,12,13,6,5,1.5,3.66666666666667,2,2.16666666666667
"138","Cole Chanler","Division 1","Men","Division 1 Men","Georgia Jojah",2,3,5,7,13,5,0.4,0.6,1,1.4,2.6
"139","Ciona Antolin","Division 1","Women","Division 1 Women","Washington Element",4,9,4,4,13,5,0.8,1.8,0.8,0.8,2.6
"140","Chaily Derecskey","Division 1","Women","Division 1 Women","Pennsylvania Venus",1,1,2,11,13,5,0.2,0.2,0.4,2.2,2.6
"141","Casey Thornton","Division 1","Men","Division 1 Men","Vermont Chill",1,0,7,7,13,5,0.2,0,1.4,1.4,2.6
"142","Casey Shaw-Merrigan","Division 3","Women","Division 3 Women","Colorado College Zenith",10,9,3,11,13,6,1.66666666666667,1.5,0.5,1.83333333333333,2.16666666666667
"143","Caroline Stone","Division 1","Women","Division 1 Women","Vermont Ruckus",6,1,8,10,13,6,1,0.166666666666667,1.33333333333333,1.66666666666667,2.16666666666667
"144","Calvin Ciorba","Division 3","Men","Division 3 Men","Richmond Spidermonkeys",22,7,24,4,13,6,3.66666666666667,1.16666666666667,4,0.666666666666667,2.16666666666667
"145","Brynn Freeland","Division 1","Women","Division 1 Women","Victoria Vikes",6,8,5,6,13,5,1.2,1.6,1,1.2,2.6
"146","Benjamin Bushley","Division 3","Men","Division 3 Men","Bates Orange Whip",4,2,1,14,13,6,0.666666666666667,0.333333333333333,0.166666666666667,2.33333333333333,2.16666666666667
"147","Anthony Camastro","Division 3","Men","Division 3 Men","Franciscan Fatal",4,2,5,10,13,6,0.666666666666667,0.333333333333333,0.833333333333333,1.66666666666667,2.16666666666667
"148","Amelia Platt","Division 3","Women","Division 3 Women","Wesleyan Vicious Circles",5,5,4,9,13,6,0.833333333333333,0.833333333333333,0.666666666666667,1.5,2.16666666666667
"149","Wesley Fransen","Division 3","Men","Division 3 Men","Missouri S&T Miner Threat",10,4,7,11,12,6,1.66666666666667,0.666666666666667,1.16666666666667,1.83333333333333,2
"150","Vincent Su","Division 1","Men","Division 1 Men","Cal Ursa Major",5,0,9,8,12,5,1,0,1.8,1.6,2.4
"151","Syris Linkfield","Division 1","Women","Division 1 Women","Oregon Fugue",11,7,9,7,12,6,1.83333333333333,1.16666666666667,1.5,1.16666666666667,2
"152","Simone Pierotti","Division 1","Women","Division 1 Women","Colorado Quandary",5,2,8,7,12,7,0.714285714285714,0.285714285714286,1.14285714285714,1,1.71428571428571
"153","Ryan Loui-Ying","Division 3","Men","Division 3 Men","Oklahoma Christian Eagles",5,2,9,6,12,5,1,0.4,1.8,1.2,2.4
"154","Nadia Scoppettone","Division 1","Women","Division 1 Women","Vermont Ruckus",3,5,3,7,12,6,0.5,0.833333333333333,0.5,1.16666666666667,2
"155","Leo Renzema","Division 1","Men","Division 1 Men","Oregon State Beavers",3,2,3,10,12,5,0.6,0.4,0.6,2,2.4
"156","Jonas Geere","Division 3","Men","Division 3 Men","St Olaf Berzerkers",5,3,8,6,12,6,0.833333333333333,0.5,1.33333333333333,1,2
"157","Jason Tapper","Division 1","Men","Division 1 Men","Brown Brownian Motion",6,1,7,10,12,8,0.75,0.125,0.875,1.25,1.5
"158","Jamie Miller","Division 3","Men","Division 3 Men","Claremont Braineaters",2,5,3,6,12,6,0.333333333333333,0.833333333333333,0.5,1,2
"159","Jacob Trokel","Division 3","Men","Division 3 Men","Rochester Piggies",4,4,1,11,12,6,0.666666666666667,0.666666666666667,0.166666666666667,1.83333333333333,2
"160","Henri Lessard","Division 1","Men","Division 1 Men","NC State Alpha",1,5,0,8,12,6,0.166666666666667,0.833333333333333,0,1.33333333333333,2
"161","Harriet Dahlstrom","Division 3","Women","Division 3 Women","Middlebury Pranksters",8,3,5,12,12,5,1.6,0.6,1,2.4,2.4
"162","Grace Maroon","Division 1","Women","Division 1 Women","Pennsylvania Venus",18,9,12,9,12,5,3.6,1.8,2.4,1.8,2.4
"163","Genevieve Reyland-Slawson","Division 1","Women","Division 1 Women","Colorado State Helle's Belles",1,3,6,4,12,5,0.2,0.6,1.2,0.8,2.4
