"","Overall Place","Elapsed Time","Team Name","Team #","Category","Last Finish","Div Place","Team Members"
"236",236,"10:06:32","Love Train",5,"Masters","Kayak",6,"Ralph Heidl, Edwin Love, Frank Stepek, Mark Staton, Brooke Love, Lisa Staton, Matt Love, Marie Winterlove,"
"237",237,"10:06:46","Overcome by Events",20,"Recreational Open","Kayak",64,"Thomas Weller, Timothy Kuhn, Justin El-Smeirat, Alex Grubic, Rob Scofidio, Cindie Kuhn, Patricia Bilskis, James Hughes,"
"238",238,"10:07:30","Allen8tors",1,"Family","Kayak",7,"Eugenia Allen-Schmid, Rose Melville, Kevin allen-schmid, Dar Schmid, Kelly Melville, Katy Allen-Schmid, Robert Denning, Tracy Melville,"
"239",239,"10:10:13","It's All Relative",271,"Recreational Mixed","Kayak",37,"Mary Atwood, DIANE GERNER, Gene Gerner, Kathryn Gerner, Julie Atwood, Nancy Richards, Bob Lazzar-Atwood, Karen Lazzar-Atwood,"
"240",240,"10:11:48","Hamster Endurance Running",294,"Recreational Mixed","Kayak",38,"Steve Snodgrass, Leah Veldhuisen, Jenny Kapp, Keri Snodgrass, Michele Medlen, Kelly Krieger, Patrick Buckley, Geneva Slaughter,"
"241",241,"10:12:17","The Clean Shaven Wizards",216,"Recreational Open","Kayak",65,"Myann Refai, ian Winters, Adam Gomez, Kenny Parker, Christo Bolger, Tony Gallina, Dominic Ghirardini, Tim Clarke,"
"242",242,"10:14:06","indomitable",90,"Recreational Mixed","Kayak",39,"Kellen Smith, Emma Brice, Claire Green, Emma Ritchie, R. Evan Ritchie, Dave Green, Jordan McCall, Sarah McCall,"
"243",243,"10:14:27","Straight Outta Whatcom",116,"Recreational Open","Kayak",66,"Joe Aumell, Silas Aumell, Renee Tryon, zachary mangus, Paul Rentko, Michael Fraas, Mara Yatsik, Rebecca Happee,"
"244",244,"10:17:10","It's all downhill from here",234,"Recreational Open","Kayak",67,"Seth Keegahn, Ali Riecke, Morgan Hanson, Jim Webster, Jessica Gaspard, Eric Smith, Henry Talley, Julie Nelson,"
"245",245,"10:17:38","Team Two",39,"Recreational Mixed","Kayak",40,"Jakub Konecny, Mattie Bly, Brian Webber, Jim Conner, Ali Schwartz, Michal Antolik, Maria Friedmannova, Dan Cox,"
"246",246,"10:18:48","Movement Project",274,"Recreational Open","Kayak",68,"Laryssa Becker, Andy Pierce, James Blair, Shadrack Schneider, Lindsey Effner, Marika Saarinen, Alex Ramirez, Nathan Palin,"
"247",247,"10:19:53","G Spot",45,"Recreational Mixed","Kayak",41,"julian hein, Sarah Cepowski, Spencer Klevgaard, Marcee Holland, Sally Renau, Cassia Hershenow, Jocelynn Nadeau, John Marriott,"
"248",248,"10:20:02","ZERO-FTG",53,"Recreational Open","Kayak",69,"Matt Talley, Jon Stohr, Shelby Giltner, Ryan Boyce, Stephen Frail, Matt Carlson, Josh Giltner, Lance Stohr,"
"249",249,"10:20:45","Thor's Jackhammer",98,"Recreational Mixed","Kayak",42,"Steve Aykens, Lindsay Aykens, Susie Wright, Paul Wright, viera lee, R Michael Lee, Robert Faye, Karen Huston-Faye,"
"250",250,"10:21:52","The Young and the Rest of Us",301,"Recreational Open","Kayak",70,"Kristin Meier, Brian Schultz, Kelley Schultz, Keith Nealey, Paul Meier, Jack Shull, Spencer Schultz, Braydon Nealey,"
"251",251,"10:21:55","Janicowski Jumpers",127,"Recreational Open","Kayak",71,"Eric Travis, Whitney Janicki, Joseph Janicki, Edward Janicki, Kyle Rutherford, Andrei Kubail Kalousdian, Kenny Packard, Matthew Cozza,"
"252",252,"10:22:03","Morrobros",66,"Recreational Open","Kayak",72,"Collin Morrow, Greg Anderson, Brian Kruhlak, Kelly Holman, Chris Peacock, Brett Hubner, Shane Scott, Brooke Scott,"
"253",253,"10:22:12","North Sound Family Medicine",304,"Recreational Open","Kayak",73,"Anneliese Floyd, Rory Bradt, Erik Bylund, Jason Short, Elizabeth Gaylord, Jeff Marker, Andrew Raduege, John Raduege,"
"254",254,"10:22:39","A Mixed Bag of Nuts",197,"Corporate","Kayak",27,"Andrew Elliott, NICK SUN, Sean Dolynski, Rafael Serrato, Kevin Whittaker, michael brown, Brian Irving, Jeanette Soltys,"
"255",255,"10:22:48","lil fanny packers",257,"Recreational Mixed","Kayak",43,"Ethan Wise, Isabella Ramos Miller, Michelle Tanz, Kailey Barnette, Joshua Kirsch, Tristan Sokol, Tait lagergren, Morgan Gingerich,"
"256",256,"10:23:55","Swedish First Hill: No Gumby For Old Men",120,"Recreational Open","Kayak",74,"Max Weston, Alicia Ashby, Ashlin Mountjoy, Seth Curtis, Kami Harless, Eliza Hutchinson, Megan Curtis, Eunice Ko,"
"257",257,"10:24:50","Shuksan our Nooksacks",71,"Recreational Open","Kayak",75,"Molly Mcisaac, Lindsay worley, Scott Cooper, Brian Seales, Dave Dundon-Harris, Leslie Gains-Germain, Frank Kingman, Allen Farwell,"
"258",258,"10:24:57","Howlin' Heartland Bastards",219,"Recreational Open","Kayak",76,"Ted McSimov, Ryan Barber, Shane McSimov, Chad Erdmann, Svetoslav Kolev, T.A. McCann, Max McSimov, Tressa Pinkleton,"
"259",259,"10:25:11","Legion of Boob",205,"Whatcom County Women","Kayak",5,"Stephanie Treneer, Kate Ramsden, Kim Markworth, Lynnelle Larson, Carolyn Watson, Kristina Johnson, Jenn Good, Alicia Julius,"
"260",260,"10:28:16","Indefatigable",89,"Recreational Open","Kayak",77,"Robin McCall, Katie Bauer, Elena Bauer, Jackson Hoppis, Tucker Price, Kerrie bauer, Brett Bauer, Jody Bauer,"
"261",261,"10:29:23","Team AK-WA",107,"Masters","Kayak",7,"Amanda Villiott, Tricia Hill, Gates Kesler, Tucker Thomas, Jamie Johnson, Alia Parker, Alison Hofmann, Hanna Hofmann,"
"262",262,"10:29:42","Baker Buds",48,"Recreational Open","Kayak",78,"Robert Pierson, Boone Helm, Darren Kiesler, Brian Miller, Gavin Clark, Jacob Baker, Anthony Petz, Robert Thompson,"
"263",263,"10:31:35","Cuboid Enginerds",239,"Recreational Mixed","Kayak",44,"Brian Bakke, Lisa Ochs, John Misasi, David Gill, Mark Peyron, Cecile Grubb, Nicole Hoekstra, Nikki Larson,"
"264",264,"10:31:40","Door Knobs",280,"Whatcom County Open","Kayak",20,"Todd Wong, Marissa Postma, Kyle Crabtree, Dylan Bush, T.J. Genger, Kevin Fazio, Chris Spoelstra, Mike Moreno,"
"265",265,"10:32:57","TBD",38,"Recreational Mixed","Kayak",45,"Jason Bennett, Jimmy Jia, Nicole Nitsche, Sue Stewart, Irene Tobias, MinWah Leung, Emily Pfeiffer, Chelsea Stewart,"
"266",265,"10:32:57","Espirit d'aventure",80,"Recreational Open","Kayak",79,"Angie Carkeek, Mary Schroeder, Taryn Bakkane, Cody Cowley, Anne Marie Culver, Jonas Bakkane, Rod Smith, Zachary Stockman,"
"267",267,"10:34:52","Definitely not lost",42,"Recreational Open","Kayak",80,"Brent Dafforn, Will Clawson, Timothy Lloyd, Richard Clawson, Jacob Davis, Cale Hoopes, Bob Davis, Eric Neilsen,"
"268",268,"10:34:53","Ballard Adventures",224,"Recreational Mixed","Kayak",46,"Melanie Riddick, Brian Besand, Gus Hebish, Rebecca Black, Dan Frederick, Robert Black, Jeff Boekelman, Vic Boekelman,"
"269",269,"10:36:05","Bitches from Hell",64,"Recreational Women","Kayak",7,"Julie Van Dooren, Fiona Starr, Colleen Mitchell, LESLIE BLOHM, Patsy Yaude, Sheri Russell, Kim Weil, Jan Ince,"
"270",270,"10:36:38","The Ski Otters",273,"Whatcom County Mixed","Kayak",5,"Nicole Onishi, Christopher Murray, Brianna Logan, Alexander Craig, Rachel Shaw, Hope Spargo, Michael Shaw, Jessica Chong,"
"271",271,"10:36:43","itek Energy",146,"Corporate","Kayak",28,"Arnold Gailo, Leishan Reese, James Ball, John Hathaway, Ian Hahn, Jonathan Storvick, Joy Sigfusson, John Neighbor,"
"272",272,"10:38:10","Bassetti Broilers",100,"Recreational Mixed","Kayak",47,"Holly Young, Rebecca Pheasant-Reis, Caroline Lemay, Ross Johnson, Jamey Tisdale, Megan Moore, Amanda Clausen, Mariko Parris,"
"273",273,"10:38:40","Ruby's Rascals",140,"Family","Kayak",8,"Ivan Machuca, Logan Wentland, Michael Liam Wentland, Bernadine Wentland, Paul Sampson, Lael Wentland, Mark Wentland, Dan Courney,"
"274",274,"10:38:56","The Fighting Snails of Snowline, Team 1",200,"Recreational Open","Kayak",81,"Jim Kerr, Jackie Eelnurme, Patrick Eelnurme, Michael Heyns, Carey Butler, Mark Svetcos, Randy Winjum, Anthony van Gemert,"
